Title,Handle,Vendor,Type,Tags,Status,SKU,Option1 Name,Option1 Value,Price,Requires Shipping
,,,,,Active,CAN-38MM-FRA-SC-16x12,Size,16x12 in - Black,35.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x12,Size,16x12 in - White,35.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x22,Size,16x22 in - Black,48.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-16x22,Size,16x22 in - White,48.00,TRUE
,,,,,Active,GLOBAL-FRA-CAN-17X21,Size,17x21 in - Black,43.00,TRUE
,,,,,Active,GLOBAL-FRA-CAN-17X21,Size,17x21 in - White,43.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x12,Size,18x12 in - Black,37.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x12,Size,18x12 in - White,37.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x18,Size,18x18 in - Black,44.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x18,Size,18x18 in - White,44.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x22,Size,18x22 in - Black,50.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x22,Size,18x22 in - White,50.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x26,Size,18x26 in - Black,56.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x26,Size,18x26 in - White,56.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-20x16,Size,20x16 in - Black,43.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-20x16,Size,20x16 in - White,43.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x16,Size,24x16 in - Black,49.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x16,Size,24x16 in - White,49.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x18,Size,24x18 in - Black,55.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x18,Size,24x18 in - White,55.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x10,Size,8x10 in - Black,22.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x10,Size,8x10 in - White,22.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x12,Size,8x12 in - Black,23.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x12,Size,8x12 in - White,23.00,TRUE
Stretched Canvas,stretched-canvas,Prodigi,Canvas,Physical,Active,CAN-38MM-SC-10x14,Size,10x14 in,19.00,TRUE
,,,,,Active,CAN-38MM-SC-10x8,Size,10x8 in,13.00,TRUE
,,,,,Active,CAN-38MM-SC-12X15,Size,12x15 in,24.00,TRUE
,,,,,Active,CAN-38MM-SC-12X16,Size,12x16 in,24.00,TRUE
,,,,,Active,CAN-38MM-SC-12x8,Size,12x8 in,14.00,TRUE
,,,,,Active,CAN-38MM-SC-14x14,Size,14x14 in,25.00,TRUE
,,,,,Active,CAN-38MM-SC-14x20,Size,14x20 in,29.00,TRUE
,,,,,Active,CAN-38MM-SC-16x22,Size,16x22 in,31.00,TRUE
,,,,,Active,CAN-38MM-SC-18x12,Size,18x12 in,25.00,TRUE
,,,,,Active,CAN-38MM-SC-18x18,Size,18x18 in,30.00,TRUE
,,,,,Active,CAN-38MM-SC-18x22,Size,18x22 in,34.00,TRUE
,,,,,Active,CAN-38MM-SC-18x26,Size,18x26 in,35.00,TRUE
,,,,,Active,CAN-38MM-SC-20x16,Size,20x16 in,30.00,TRUE
,,,,,Active,CAN-38MM-SC-24x16,Size,24x16 in,34.00,TRUE
,,,,,Active,CAN-38MM-SC-24x18,Size,24x18 in,35.00,TRUE
,,,,,Active,CAN-38MM-SC-6X6,Size,6x6 in,13.00,TRUE
,,,,,Active,CAN-38MM-SC-6X8,Size,6x8 in,13.00,TRUE
,,,,,Active,CAN-38MM-SC-6X9,Size,6x9 in,13.00,TRUE
,,,,,Active,CAN-38MM-SC-9X12,Size,9x12 in,18.00,TRUE
Digital Print,digital-print,Prodigi,Digital,Physical,Active,DIGITAL-PNG,Format,PNG Download,29.99,FALSE
