Title,Handle,Vendor,Type,Tags,Status,SKU,Option1 Name,Option1 Value,Price,Requires Shipping
,,,,,Active,CAN-38MM-FRA-SC-18x22,Size,18x22 in - Black,100.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x22,Size,18x22 in - White,100.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x26,Size,18x26 in - Black,112.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-18x26,Size,18x26 in - White,112.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-20x16,Size,20x16 in - Black,86.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-20x16,Size,20x16 in - White,86.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x16,Size,24x16 in - Black,98.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x16,Size,24x16 in - White,98.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x18,Size,24x18 in - Black,110.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-24x18,Size,24x18 in - White,110.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x10,Size,8x10 in - Black,44.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x10,Size,8x10 in - White,44.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x12,Size,8x12 in - Black,46.00,TRUE
,,,,,Active,CAN-38MM-FRA-SC-8x12,Size,8x12 in - White,46.00,TRUE
Stretched Canvas,stretched-canvas,Prodigi,Canvas,Physical,Active,CAN-38MM-SC-10x14,Size,10x14 in,38.00,TRUE
,,,,,Active,CAN-38MM-SC-10x8,Size,10x8 in,26.00,TRUE
,,,,,Active,CAN-38MM-SC-12X15,Size,12x15 in,48.00,TRUE
,,,,,Active,CAN-38MM-SC-12X16,Size,12x16 in,48.00,TRUE
,,,,,Active,CAN-38MM-SC-12x8,Size,12x8 in,28.00,TRUE
,,,,,Active,CAN-38MM-SC-14x14,Size,14x14 in,50.00,TRUE
,,,,,Active,CAN-38MM-SC-14x20,Size,14x20 in,58.00,TRUE
,,,,,Active,CAN-38MM-SC-16x22,Size,16x22 in,62.00,TRUE
,,,,,Active,CAN-38MM-SC-18x12,Size,18x12 in,50.00,TRUE
,,,,,Active,CAN-38MM-SC-18x18,Size,18x18 in,60.00,TRUE
,,,,,Active,CAN-38MM-SC-18x22,Size,18x22 in,68.00,TRUE
,,,,,Active,CAN-38MM-SC-18x26,Size,18x26 in,70.00,TRUE
,,,,,Active,CAN-38MM-SC-20x16,Size,20x16 in,60.00,TRUE
,,,,,Active,CAN-38MM-SC-24x16,Size,24x16 in,68.00,TRUE
,,,,,Active,CAN-38MM-SC-24x18,Size,24x18 in,70.00,TRUE
,,,,,Active,CAN-38MM-SC-6X6,Size,6x6 in,26.00,TRUE
,,,,,Active,CAN-38MM-SC-6X8,Size,6x8 in,26.00,TRUE
,,,,,Active,CAN-38MM-SC-6X9,Size,6x9 in,26.00,TRUE
,,,,,Active,CAN-38MM-SC-9X12,Size,9x12 in,36.00,TRUE
Digital Print,digital-print,Prodigi,Digital,Physical,Active,DIGITAL-PNG,Format,PNG Download,60.00,FALSE
